day_pt,other_joins,discovery_joins,vanity_joins,invites
2026-04-25T00:00:00.000Z,1,5,11,10
2026-05-02T00:00:00.000Z,1,4,11,15
2026-05-09T00:00:00.000Z,1,3,16,9
2026-05-16T00:00:00.000Z,1,4,15,14
2026-05-23T00:00:00.000Z,0,4,13,12
2026-05-30T00:00:00.000Z,0,10,14,17
2026-06-06T00:00:00.000Z,0,2,11,13
2026-06-13T00:00:00.000Z,0,8,17,9
2026-06-20T00:00:00.000Z,1,6,16,20
2026-06-27T00:00:00.000Z,1,2,6,4
2026-07-04T00:00:00.000Z,2,4,10,9
2026-07-11T00:00:00.000Z,7,4,11,9
2026-07-18T00:00:00.000Z,1,4,11,12
2026-07-25T00:00:00.000Z,0,6,13,13
2026-08-01T00:00:00.000Z,3,7,11,13
2026-08-08T00:00:00.000Z,1,12,20,9
2026-08-15T00:00:00.000Z,1,15,16,17
