day_pt,days_in_guild,leavers
2026-06-27T00:00:00.000Z,Members for < 1 month,8
2026-07-04T00:00:00.000Z,Members for < 1 month,10
2026-07-11T00:00:00.000Z,Members for < 1 month,5
2026-07-18T00:00:00.000Z,Members for < 1 month,6
2026-07-25T00:00:00.000Z,Members for < 1 month,13
2026-08-01T00:00:00.000Z,Members for < 1 month,12
2026-08-08T00:00:00.000Z,Members for < 1 month,9
2026-08-15T00:00:00.000Z,Members for < 1 month,9
2026-06-27T00:00:00.000Z,Members for 1 month+,7
2026-07-04T00:00:00.000Z,Members for 1 month+,9
2026-07-11T00:00:00.000Z,Members for 1 month+,7
2026-07-18T00:00:00.000Z,Members for 1 month+,8
2026-07-25T00:00:00.000Z,Members for 1 month+,15
2026-08-01T00:00:00.000Z,Members for 1 month+,7
2026-08-08T00:00:00.000Z,Members for 1 month+,4
2026-08-15T00:00:00.000Z,Members for 1 month+,18
