day_pt,discovery_joins,invites,vanity_joins,hubs_joins,bot_joins,integration_joins,other_joins,total_joins,interval_start_timestamp
2026-05-06T00:00:00+00:00,5,11,18,0,0,0,0,34,2026-05-06T00:00:00+00:00
2026-05-13T00:00:00+00:00,4,12,13,0,0,0,2,31,2026-05-13T00:00:00+00:00
2026-05-20T00:00:00+00:00,3,11,16,0,0,0,0,30,2026-05-20T00:00:00+00:00
2026-05-27T00:00:00+00:00,6,20,10,0,0,0,0,36,2026-05-27T00:00:00+00:00
2026-06-03T00:00:00+00:00,7,10,16,0,0,0,0,33,2026-06-03T00:00:00+00:00
2026-06-10T00:00:00+00:00,5,13,13,0,0,0,0,31,2026-06-10T00:00:00+00:00
2026-06-17T00:00:00+00:00,7,14,17,0,0,0,1,39,2026-06-17T00:00:00+00:00
2026-06-24T00:00:00+00:00,5,11,10,0,0,0,1,27,2026-06-24T00:00:00+00:00
2026-07-01T00:00:00+00:00,3,7,9,0,0,0,2,21,2026-07-01T00:00:00+00:00
2026-07-08T00:00:00+00:00,3,7,12,0,0,0,5,26,2026-07-08T00:00:00+00:00
2026-07-15T00:00:00+00:00,6,10,7,0,0,0,3,26,2026-07-15T00:00:00+00:00
2026-07-22T00:00:00+00:00,5,19,16,0,0,0,0,40,2026-07-22T00:00:00+00:00
2026-07-29T00:00:00+00:00,5,8,12,0,0,0,3,28,2026-07-29T00:00:00+00:00
2026-08-05T00:00:00+00:00,14,10,19,0,0,0,1,44,2026-08-05T00:00:00+00:00
2026-08-12T00:00:00+00:00,10,19,13,0,0,0,1,43,2026-08-12T00:00:00+00:00
2026-08-19T00:00:00+00:00,12,8,21,0,0,0,0,41,2026-08-19T00:00:00+00:00
2026-08-26T00:00:00+00:00,7,2,13,0,0,0,0,22,2026-08-26T00:00:00+00:00
