day_pt,days_in_guild,leavers,interval_start_timestamp
2026-05-06T00:00:00+00:00,Members for 1 month+,10,2026-05-06T00:00:00+00:00
2026-05-06T00:00:00+00:00,Members for < 1 month,7,2026-05-06T00:00:00+00:00
2026-05-13T00:00:00+00:00,Members for 1 month+,10,2026-05-13T00:00:00+00:00
2026-05-13T00:00:00+00:00,Members for < 1 month,12,2026-05-13T00:00:00+00:00
2026-05-20T00:00:00+00:00,Members for 1 month+,9,2026-05-20T00:00:00+00:00
2026-05-20T00:00:00+00:00,Members for < 1 month,6,2026-05-20T00:00:00+00:00
2026-05-27T00:00:00+00:00,Members for 1 month+,3,2026-05-27T00:00:00+00:00
2026-05-27T00:00:00+00:00,Members for < 1 month,9,2026-05-27T00:00:00+00:00
2026-06-03T00:00:00+00:00,Members for 1 month+,12,2026-06-03T00:00:00+00:00
2026-06-03T00:00:00+00:00,Members for < 1 month,5,2026-06-03T00:00:00+00:00
2026-06-10T00:00:00+00:00,Members for 1 month+,11,2026-06-10T00:00:00+00:00
2026-06-10T00:00:00+00:00,Members for < 1 month,6,2026-06-10T00:00:00+00:00
2026-06-17T00:00:00+00:00,Members for 1 month+,5,2026-06-17T00:00:00+00:00
2026-06-17T00:00:00+00:00,Members for < 1 month,17,2026-06-17T00:00:00+00:00
2026-06-24T00:00:00+00:00,Members for 1 month+,8,2026-06-24T00:00:00+00:00
2026-06-24T00:00:00+00:00,Members for < 1 month,10,2026-06-24T00:00:00+00:00
2026-07-01T00:00:00+00:00,Members for 1 month+,10,2026-07-01T00:00:00+00:00
2026-07-01T00:00:00+00:00,Members for < 1 month,10,2026-07-01T00:00:00+00:00
2026-07-08T00:00:00+00:00,Members for 1 month+,6,2026-07-08T00:00:00+00:00
2026-07-08T00:00:00+00:00,Members for < 1 month,6,2026-07-08T00:00:00+00:00
2026-07-15T00:00:00+00:00,Members for 1 month+,9,2026-07-15T00:00:00+00:00
2026-07-15T00:00:00+00:00,Members for < 1 month,6,2026-07-15T00:00:00+00:00
2026-07-22T00:00:00+00:00,Members for 1 month+,12,2026-07-22T00:00:00+00:00
2026-07-22T00:00:00+00:00,Members for < 1 month,7,2026-07-22T00:00:00+00:00
2026-07-29T00:00:00+00:00,Members for 1 month+,10,2026-07-29T00:00:00+00:00
2026-07-29T00:00:00+00:00,Members for < 1 month,13,2026-07-29T00:00:00+00:00
2026-08-05T00:00:00+00:00,Members for 1 month+,7,2026-08-05T00:00:00+00:00
2026-08-05T00:00:00+00:00,Members for < 1 month,13,2026-08-05T00:00:00+00:00
2026-08-12T00:00:00+00:00,Members for 1 month+,10,2026-08-12T00:00:00+00:00
2026-08-12T00:00:00+00:00,Members for < 1 month,10,2026-08-12T00:00:00+00:00
2026-08-19T00:00:00+00:00,Members for 1 month+,13,2026-08-19T00:00:00+00:00
2026-08-19T00:00:00+00:00,Members for < 1 month,10,2026-08-19T00:00:00+00:00
2026-08-26T00:00:00+00:00,Members for 1 month+,11,2026-08-26T00:00:00+00:00
2026-08-26T00:00:00+00:00,Members for < 1 month,4,2026-08-26T00:00:00+00:00
