day_pt,days_in_guild,muters,interval_start_timestamp
2026-05-06T00:00:00+00:00,Existing Members,3,2026-05-06T00:00:00+00:00
2026-05-06T00:00:00+00:00,New Members,6,2026-05-06T00:00:00+00:00
2026-05-13T00:00:00+00:00,Existing Members,4,2026-05-13T00:00:00+00:00
2026-05-13T00:00:00+00:00,New Members,3,2026-05-13T00:00:00+00:00
2026-05-20T00:00:00+00:00,Existing Members,3,2026-05-20T00:00:00+00:00
2026-05-20T00:00:00+00:00,New Members,5,2026-05-20T00:00:00+00:00
2026-05-27T00:00:00+00:00,Existing Members,4,2026-05-27T00:00:00+00:00
2026-05-27T00:00:00+00:00,New Members,7,2026-05-27T00:00:00+00:00
2026-06-03T00:00:00+00:00,Existing Members,10,2026-06-03T00:00:00+00:00
2026-06-03T00:00:00+00:00,New Members,6,2026-06-03T00:00:00+00:00
2026-06-10T00:00:00+00:00,Existing Members,8,2026-06-10T00:00:00+00:00
2026-06-10T00:00:00+00:00,New Members,3,2026-06-10T00:00:00+00:00
2026-06-17T00:00:00+00:00,Existing Members,2,2026-06-17T00:00:00+00:00
2026-06-17T00:00:00+00:00,New Members,6,2026-06-17T00:00:00+00:00
2026-06-24T00:00:00+00:00,Existing Members,0,2026-06-24T00:00:00+00:00
2026-06-24T00:00:00+00:00,New Members,5,2026-06-24T00:00:00+00:00
2026-07-01T00:00:00+00:00,Existing Members,7,2026-07-01T00:00:00+00:00
2026-07-01T00:00:00+00:00,New Members,1,2026-07-01T00:00:00+00:00
2026-07-08T00:00:00+00:00,Existing Members,5,2026-07-08T00:00:00+00:00
2026-07-08T00:00:00+00:00,New Members,7,2026-07-08T00:00:00+00:00
2026-07-15T00:00:00+00:00,Existing Members,6,2026-07-15T00:00:00+00:00
2026-07-15T00:00:00+00:00,New Members,6,2026-07-15T00:00:00+00:00
2026-07-22T00:00:00+00:00,Existing Members,18,2026-07-22T00:00:00+00:00
2026-07-22T00:00:00+00:00,New Members,8,2026-07-22T00:00:00+00:00
2026-07-29T00:00:00+00:00,Existing Members,3,2026-07-29T00:00:00+00:00
2026-07-29T00:00:00+00:00,New Members,4,2026-07-29T00:00:00+00:00
2026-08-05T00:00:00+00:00,Existing Members,9,2026-08-05T00:00:00+00:00
2026-08-05T00:00:00+00:00,New Members,8,2026-08-05T00:00:00+00:00
2026-08-12T00:00:00+00:00,Existing Members,9,2026-08-12T00:00:00+00:00
2026-08-12T00:00:00+00:00,New Members,7,2026-08-12T00:00:00+00:00
2026-08-19T00:00:00+00:00,Existing Members,7,2026-08-19T00:00:00+00:00
2026-08-19T00:00:00+00:00,New Members,9,2026-08-19T00:00:00+00:00
2026-08-26T00:00:00+00:00,Existing Members,6,2026-08-26T00:00:00+00:00
2026-08-26T00:00:00+00:00,New Members,2,2026-08-26T00:00:00+00:00
