day_pt,days_in_guild,muters,interval_start_timestamp
2026-05-10T00:00:00+00:00,Existing Members,4,2026-05-10T00:00:00+00:00
2026-05-10T00:00:00+00:00,New Members,3,2026-05-10T00:00:00+00:00
2026-05-17T00:00:00+00:00,Existing Members,1,2026-05-17T00:00:00+00:00
2026-05-17T00:00:00+00:00,New Members,7,2026-05-17T00:00:00+00:00
2026-05-24T00:00:00+00:00,Existing Members,5,2026-05-24T00:00:00+00:00
2026-05-24T00:00:00+00:00,New Members,5,2026-05-24T00:00:00+00:00
2026-05-31T00:00:00+00:00,Existing Members,12,2026-05-31T00:00:00+00:00
2026-05-31T00:00:00+00:00,New Members,8,2026-05-31T00:00:00+00:00
2026-06-07T00:00:00+00:00,Existing Members,7,2026-06-07T00:00:00+00:00
2026-06-07T00:00:00+00:00,New Members,1,2026-06-07T00:00:00+00:00
2026-06-14T00:00:00+00:00,Existing Members,3,2026-06-14T00:00:00+00:00
2026-06-14T00:00:00+00:00,New Members,5,2026-06-14T00:00:00+00:00
2026-06-21T00:00:00+00:00,Existing Members,0,2026-06-21T00:00:00+00:00
2026-06-21T00:00:00+00:00,New Members,7,2026-06-21T00:00:00+00:00
2026-06-28T00:00:00+00:00,Existing Members,6,2026-06-28T00:00:00+00:00
2026-06-28T00:00:00+00:00,New Members,1,2026-06-28T00:00:00+00:00
2026-07-05T00:00:00+00:00,Existing Members,3,2026-07-05T00:00:00+00:00
2026-07-05T00:00:00+00:00,New Members,5,2026-07-05T00:00:00+00:00
2026-07-12T00:00:00+00:00,Existing Members,6,2026-07-12T00:00:00+00:00
2026-07-12T00:00:00+00:00,New Members,5,2026-07-12T00:00:00+00:00
2026-07-19T00:00:00+00:00,Existing Members,19,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,New Members,11,2026-07-19T00:00:00+00:00
2026-07-26T00:00:00+00:00,Existing Members,5,2026-07-26T00:00:00+00:00
2026-07-26T00:00:00+00:00,New Members,4,2026-07-26T00:00:00+00:00
2026-08-02T00:00:00+00:00,Existing Members,6,2026-08-02T00:00:00+00:00
2026-08-02T00:00:00+00:00,New Members,5,2026-08-02T00:00:00+00:00
2026-08-09T00:00:00+00:00,Existing Members,6,2026-08-09T00:00:00+00:00
2026-08-09T00:00:00+00:00,New Members,7,2026-08-09T00:00:00+00:00
2026-08-16T00:00:00+00:00,Existing Members,14,2026-08-16T00:00:00+00:00
2026-08-16T00:00:00+00:00,New Members,9,2026-08-16T00:00:00+00:00
2026-08-23T00:00:00+00:00,Existing Members,3,2026-08-23T00:00:00+00:00
2026-08-23T00:00:00+00:00,New Members,5,2026-08-23T00:00:00+00:00
2026-08-30T00:00:00+00:00,Existing Members,9,2026-08-30T00:00:00+00:00
2026-08-30T00:00:00+00:00,New Members,6,2026-08-30T00:00:00+00:00
