day_pt,total_membership,interval_start_timestamp
2026-05-05T00:00:00+00:00,1713,2026-05-05T00:00:00+00:00
2026-05-06T00:00:00+00:00,1710,2026-05-06T00:00:00+00:00
2026-05-07T00:00:00+00:00,1706,2026-05-07T00:00:00+00:00
2026-05-08T00:00:00+00:00,1691,2026-05-08T00:00:00+00:00
2026-05-09T00:00:00+00:00,1650,2026-05-09T00:00:00+00:00
2026-05-10T00:00:00+00:00,1651,2026-05-10T00:00:00+00:00
2026-05-11T00:00:00+00:00,1658,2026-05-11T00:00:00+00:00
2026-05-12T00:00:00+00:00,1661,2026-05-12T00:00:00+00:00
2026-05-13T00:00:00+00:00,1659,2026-05-13T00:00:00+00:00
2026-05-14T00:00:00+00:00,1664,2026-05-14T00:00:00+00:00
2026-05-15T00:00:00+00:00,1670,2026-05-15T00:00:00+00:00
2026-05-16T00:00:00+00:00,1671,2026-05-16T00:00:00+00:00
2026-05-17T00:00:00+00:00,1669,2026-05-17T00:00:00+00:00
2026-05-18T00:00:00+00:00,1673,2026-05-18T00:00:00+00:00
2026-05-19T00:00:00+00:00,1676,2026-05-19T00:00:00+00:00
2026-05-20T00:00:00+00:00,1677,2026-05-20T00:00:00+00:00
2026-05-21T00:00:00+00:00,1681,2026-05-21T00:00:00+00:00
2026-05-22T00:00:00+00:00,1685,2026-05-22T00:00:00+00:00
2026-05-23T00:00:00+00:00,1688,2026-05-23T00:00:00+00:00
2026-05-24T00:00:00+00:00,1699,2026-05-24T00:00:00+00:00
2026-05-25T00:00:00+00:00,1701,2026-05-25T00:00:00+00:00
2026-05-26T00:00:00+00:00,1705,2026-05-26T00:00:00+00:00
2026-05-27T00:00:00+00:00,1703,2026-05-27T00:00:00+00:00
2026-05-28T00:00:00+00:00,1705,2026-05-28T00:00:00+00:00
2026-05-29T00:00:00+00:00,1705,2026-05-29T00:00:00+00:00
2026-05-30T00:00:00+00:00,1708,2026-05-30T00:00:00+00:00
2026-05-31T00:00:00+00:00,1709,2026-05-31T00:00:00+00:00
2026-06-01T00:00:00+00:00,1714,2026-06-01T00:00:00+00:00
2026-06-02T00:00:00+00:00,1713,2026-06-02T00:00:00+00:00
2026-06-03T00:00:00+00:00,1719,2026-06-03T00:00:00+00:00
2026-06-04T00:00:00+00:00,1721,2026-06-04T00:00:00+00:00
2026-06-05T00:00:00+00:00,1724,2026-06-05T00:00:00+00:00
2026-06-06T00:00:00+00:00,1724,2026-06-06T00:00:00+00:00
2026-06-07T00:00:00+00:00,1723,2026-06-07T00:00:00+00:00
2026-06-08T00:00:00+00:00,1727,2026-06-08T00:00:00+00:00
2026-06-09T00:00:00+00:00,1725,2026-06-09T00:00:00+00:00
2026-06-10T00:00:00+00:00,1733,2026-06-10T00:00:00+00:00
2026-06-11T00:00:00+00:00,1738,2026-06-11T00:00:00+00:00
2026-06-12T00:00:00+00:00,1738,2026-06-12T00:00:00+00:00
2026-06-13T00:00:00+00:00,1740,2026-06-13T00:00:00+00:00
2026-06-14T00:00:00+00:00,1746,2026-06-14T00:00:00+00:00
2026-06-15T00:00:00+00:00,1745,2026-06-15T00:00:00+00:00
2026-06-16T00:00:00+00:00,1748,2026-06-16T00:00:00+00:00
2026-06-17T00:00:00+00:00,1755,2026-06-17T00:00:00+00:00
2026-06-18T00:00:00+00:00,1756,2026-06-18T00:00:00+00:00
2026-06-19T00:00:00+00:00,1761,2026-06-19T00:00:00+00:00
2026-06-20T00:00:00+00:00,1766,2026-06-20T00:00:00+00:00
2026-06-21T00:00:00+00:00,1765,2026-06-21T00:00:00+00:00
2026-06-22T00:00:00+00:00,1764,2026-06-22T00:00:00+00:00
2026-06-23T00:00:00+00:00,1764,2026-06-23T00:00:00+00:00
2026-06-24T00:00:00+00:00,1770,2026-06-24T00:00:00+00:00
2026-06-25T00:00:00+00:00,1771,2026-06-25T00:00:00+00:00
2026-06-26T00:00:00+00:00,1769,2026-06-26T00:00:00+00:00
2026-06-27T00:00:00+00:00,1768,2026-06-27T00:00:00+00:00
2026-06-28T00:00:00+00:00,1767,2026-06-28T00:00:00+00:00
2026-06-29T00:00:00+00:00,1767,2026-06-29T00:00:00+00:00
2026-06-30T00:00:00+00:00,1771,2026-06-30T00:00:00+00:00
2026-07-01T00:00:00+00:00,1775,2026-07-01T00:00:00+00:00
2026-07-02T00:00:00+00:00,1771,2026-07-02T00:00:00+00:00
2026-07-03T00:00:00+00:00,1770,2026-07-03T00:00:00+00:00
2026-07-04T00:00:00+00:00,1777,2026-07-04T00:00:00+00:00
2026-07-05T00:00:00+00:00,1781,2026-07-05T00:00:00+00:00
2026-07-06T00:00:00+00:00,1784,2026-07-06T00:00:00+00:00
2026-07-07T00:00:00+00:00,1786,2026-07-07T00:00:00+00:00
2026-07-08T00:00:00+00:00,1784,2026-07-08T00:00:00+00:00
2026-07-09T00:00:00+00:00,1786,2026-07-09T00:00:00+00:00
2026-07-10T00:00:00+00:00,1790,2026-07-10T00:00:00+00:00
2026-07-11T00:00:00+00:00,1792,2026-07-11T00:00:00+00:00
2026-07-12T00:00:00+00:00,1793,2026-07-12T00:00:00+00:00
2026-07-13T00:00:00+00:00,1794,2026-07-13T00:00:00+00:00
2026-07-14T00:00:00+00:00,1796,2026-07-14T00:00:00+00:00
2026-07-15T00:00:00+00:00,1797,2026-07-15T00:00:00+00:00
2026-07-16T00:00:00+00:00,1799,2026-07-16T00:00:00+00:00
2026-07-17T00:00:00+00:00,1803,2026-07-17T00:00:00+00:00
2026-07-18T00:00:00+00:00,1806,2026-07-18T00:00:00+00:00
2026-07-19T00:00:00+00:00,1803,2026-07-19T00:00:00+00:00
2026-07-20T00:00:00+00:00,1808,2026-07-20T00:00:00+00:00
2026-07-21T00:00:00+00:00,1811,2026-07-21T00:00:00+00:00
2026-07-22T00:00:00+00:00,1819,2026-07-22T00:00:00+00:00
2026-07-23T00:00:00+00:00,1817,2026-07-23T00:00:00+00:00
2026-07-24T00:00:00+00:00,1817,2026-07-24T00:00:00+00:00
2026-07-25T00:00:00+00:00,1819,2026-07-25T00:00:00+00:00
2026-07-26T00:00:00+00:00,1818,2026-07-26T00:00:00+00:00
2026-07-27T00:00:00+00:00,1826,2026-07-27T00:00:00+00:00
2026-07-28T00:00:00+00:00,1830,2026-07-28T00:00:00+00:00
2026-07-29T00:00:00+00:00,1832,2026-07-29T00:00:00+00:00
2026-07-30T00:00:00+00:00,1838,2026-07-30T00:00:00+00:00
2026-07-31T00:00:00+00:00,1835,2026-07-31T00:00:00+00:00
2026-08-01T00:00:00+00:00,1837,2026-08-01T00:00:00+00:00
2026-08-02T00:00:00+00:00,1844,2026-08-02T00:00:00+00:00
2026-08-03T00:00:00+00:00,1849,2026-08-03T00:00:00+00:00
2026-08-04T00:00:00+00:00,1853,2026-08-04T00:00:00+00:00
2026-08-05T00:00:00+00:00,1857,2026-08-05T00:00:00+00:00
2026-08-06T00:00:00+00:00,1859,2026-08-06T00:00:00+00:00
2026-08-07T00:00:00+00:00,1863,2026-08-07T00:00:00+00:00
2026-08-08T00:00:00+00:00,1867,2026-08-08T00:00:00+00:00
2026-08-09T00:00:00+00:00,1869,2026-08-09T00:00:00+00:00
2026-08-10T00:00:00+00:00,1876,2026-08-10T00:00:00+00:00
2026-08-11T00:00:00+00:00,1877,2026-08-11T00:00:00+00:00
2026-08-12T00:00:00+00:00,1884,2026-08-12T00:00:00+00:00
2026-08-13T00:00:00+00:00,1888,2026-08-13T00:00:00+00:00
2026-08-14T00:00:00+00:00,1893,2026-08-14T00:00:00+00:00
2026-08-15T00:00:00+00:00,1890,2026-08-15T00:00:00+00:00
2026-08-16T00:00:00+00:00,1896,2026-08-16T00:00:00+00:00
2026-08-17T00:00:00+00:00,1902,2026-08-17T00:00:00+00:00
2026-08-18T00:00:00+00:00,1897,2026-08-18T00:00:00+00:00
2026-08-19T00:00:00+00:00,1902,2026-08-19T00:00:00+00:00
2026-08-20T00:00:00+00:00,1900,2026-08-20T00:00:00+00:00
2026-08-21T00:00:00+00:00,1896,2026-08-21T00:00:00+00:00
2026-08-22T00:00:00+00:00,1896,2026-08-22T00:00:00+00:00
2026-08-23T00:00:00+00:00,1898,2026-08-23T00:00:00+00:00
2026-08-24T00:00:00+00:00,1898,2026-08-24T00:00:00+00:00
2026-08-25T00:00:00+00:00,1901,2026-08-25T00:00:00+00:00
2026-08-26T00:00:00+00:00,1904,2026-08-26T00:00:00+00:00
2026-08-27T00:00:00+00:00,1908,2026-08-27T00:00:00+00:00
2026-08-28T00:00:00+00:00,1906,2026-08-28T00:00:00+00:00
2026-08-29T00:00:00+00:00,1902,2026-08-29T00:00:00+00:00
2026-08-30T00:00:00+00:00,1903,2026-08-30T00:00:00+00:00
