interval_start_timestamp,speaking_minutes
2026-05-10T00:00:00+00:00,14373
2026-05-17T00:00:00+00:00,18028
2026-05-24T00:00:00+00:00,16612
2026-05-31T00:00:00+00:00,16690
2026-06-07T00:00:00+00:00,21822
2026-06-14T00:00:00+00:00,14461
2026-06-21T00:00:00+00:00,14345
2026-06-28T00:00:00+00:00,16232
2026-07-05T00:00:00+00:00,18950
2026-07-12T00:00:00+00:00,18218
2026-07-19T00:00:00+00:00,25613
2026-07-26T00:00:00+00:00,27776
2026-08-02T00:00:00+00:00,27286
2026-08-09T00:00:00+00:00,25548
2026-08-16T00:00:00+00:00,29838
2026-08-23T00:00:00+00:00,28689
2026-08-30T00:00:00+00:00,17317
