interval_start_timestamp,speaking_minutes
2026-05-16T00:00:00+00:00,17491
2026-05-23T00:00:00+00:00,17102
2026-05-30T00:00:00+00:00,15239
2026-06-06T00:00:00+00:00,23313
2026-06-13T00:00:00+00:00,12796
2026-06-20T00:00:00+00:00,16867
2026-06-27T00:00:00+00:00,15478
2026-07-04T00:00:00+00:00,18150
2026-07-11T00:00:00+00:00,19253
2026-07-18T00:00:00+00:00,21895
2026-07-25T00:00:00+00:00,28246
2026-08-01T00:00:00+00:00,28801
2026-08-08T00:00:00+00:00,25385
2026-08-15T00:00:00+00:00,30022
2026-08-22T00:00:00+00:00,29233
2026-08-29T00:00:00+00:00,15875
2026-09-05T00:00:00+00:00,20004
