# Pfad	Rust-Typ	Bereich	Beschriftung	Schreibrecht	Hinweis
discord.guild_id	Option<String>	Discord · Allgemein	Discord-Server-ID	edit	Wirksam nach Neustart des betroffenen Dienstes.
services.steam_api_url	String	Infrastruktur	Interne Steam-API	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
services.dashboard_port	u16	Infrastruktur	Dashboard-Port	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
services.public_stats_port	u16	Infrastruktur	Port der öffentlichen Statistik	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
services.master_broker_port	u16	Infrastruktur	Port des internen Brokers	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
services.tierlist_public_port	u16	Infrastruktur	Port der öffentlichen Tierliste	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
services.changelog_port	u16	Infrastruktur	Changelog-Port	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
storage.legacy_snapshot_path	PathBuf	Infrastruktur	Pfad des Kompatibilitäts-Snapshots	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
features.gateway	bool	Discord · Allgemein	Discord-Gateway aktivieren	edit	Wirksam nach Neustart des betroffenen Dienstes.
moderation.enforce	bool	Moderation	Moderationsmaßnahmen tatsächlich anwenden	edit	Wirksam nach Neustart des betroffenen Dienstes.
concierge.timeout_seconds	u64	Bot-Pate & Onboarding	Antwortzeitlimit des Bot-Paten (Sekunden)	edit	Wirksam nach Neustart des betroffenen Dienstes.
tempvoice.empty_lane_grace_seconds	u64	Voice & Mitspielersuche	Wartezeit vor dem Entfernen leerer Lanes (Sekunden)	edit	Wirksam nach Neustart des betroffenen Dienstes.
schema_version	u32	Infrastruktur	Konfigurationsversion	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.start.log_filter	Option<String>	Bot-Start & Befehle	Protokollierung	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.start.owner_id	Option<u64>	Bot-Start & Befehle	Betreiber-ID	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.start.command_prefix	Option<String>	Bot-Start & Befehle	Befehlspräfix	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.start.command_sync	Option<bool>	Bot-Start & Befehle	Befehle beim Start synchronisieren	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.start.command_scope	Option<CommandScope>	Bot-Start & Befehle	Gültigkeitsbereich der Befehle	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.start.command_guild_id	Option<u64>	Bot-Start & Befehle	Server für Befehle	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.start.presence_intent	Option<bool>	Bot-Start & Befehle	Discord-Anwesenheit empfangen	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.start.pid_file	Option<PathBuf>	Bot-Start & Befehle	Prozessdatei	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.start.broker_host	Option<IpAddr>	Bot-Start & Befehle	Adresse des internen Brokers	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.start.broker_channels	Option<Vec<u64>>	Bot-Start & Befehle	Erlaubte Broker-Kanäle	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.start.broker_guilds	Option<Vec<u64>>	Bot-Start & Befehle	Erlaubte Broker-Server	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.start.broker_roles	Option<Vec<u64>>	Bot-Start & Befehle	Erlaubte Broker-Rollen	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.start.broker_idempotency_ttl_seconds	Option<f64>	Bot-Start & Befehle	Aufbewahrung bestätigter Broker-Aufträge (Sekunden)	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.start.broker_inflight_ttl_seconds	Option<f64>	Bot-Start & Befehle	Zeitlimit laufender Broker-Aufträge (Sekunden)	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.start.broker_waiter_timeout_seconds	Option<f64>	Bot-Start & Befehle	Wartezeit auf Broker-Aufträge (Sekunden)	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.start.broker_idempotency_max_entries	Option<usize>	Bot-Start & Befehle	Maximal gespeicherte Broker-Aufträge	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.start.mcp_host	Option<IpAddr>	Bot-Start & Befehle	MCP-Bind-Adresse	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.start.mcp_port	Option<u16>	Bot-Start & Befehle	MCP-Port	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.start.mcp_guild_id	Option<u64>	Bot-Start & Befehle	MCP-Standardserver	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.start.mcp_export_dir	Option<PathBuf>	Bot-Start & Befehle	MCP-Exportverzeichnis	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.bridges.twitch_api_url	Option<String>	Verbindungen & Streamer-Zuordnung	Interne Twitch-API	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.bridges.twitch_host	Option<IpAddr>	Verbindungen & Streamer-Zuordnung	Twitch-Bind-Adresse	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.bridges.twitch_port	Option<u16>	Verbindungen & Streamer-Zuordnung	Twitch-Port	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.bridges.twitch_timeout_seconds	Option<f64>	Verbindungen & Streamer-Zuordnung	Twitch-Antwortzeitlimit (Sekunden)	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.bridges.twitch_allow_non_loopback	Option<bool>	Verbindungen & Streamer-Zuordnung	Twitch-Verbindungen außerhalb des lokalen Hosts	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.bridges.turnier_api_url	Option<String>	Verbindungen & Streamer-Zuordnung	Interne Turnier-API	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.bridges.website_api_url	Option<String>	Verbindungen & Streamer-Zuordnung	Website-API	protected	Geschützte Infrastruktur: Änderung über die Betriebsdatei bzw. Infisical, nicht über den Browser. Der Wert wird nicht ausgeliefert.
runtime.bridges.matcher_enabled	Option<bool>	Verbindungen & Streamer-Zuordnung	Streamer automatisch zuordnen	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.bridges.matcher_guild_id	Option<u64>	Verbindungen & Streamer-Zuordnung	Server für Streamer-Zuordnung	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.bridges.matcher_notify_channel_id	Option<u64>	Verbindungen & Streamer-Zuordnung	Benachrichtigungskanal für Streamer-Zuordnung	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
runtime.bridges.matcher_role_id	Option<u64>	Verbindungen & Streamer-Zuordnung	Streamer-Rolle	edit	„Dienststandard“ entfernt den optionalen Override. Ein eigener leerer Wert ist davon zu unterscheiden. Wirksam nach Neustart.
